No.,Ciudad,Gasolina MC ($/gal),ACPM ($/gal),fecha
1,Bogotá D.C.,12173,9357,03-05-2023
2,Medellín,12111,9372,03-05-2023
3,Cali,12211,9484,03-05-2023
4,Barranquilla,11847,9060,03-05-2023
5,Cartagena,11805,9028,03-05-2023
6,Montería,12055,9278,03-05-2023
7,Bucaramanga,11920,9125,03-05-2023
8,Villavicencio,12273,9457,03-05-2023
9,Pereira,12154,9429,03-05-2023
10,Manizales,12164,9417,03-05-2023
11,Ibagué,12118,9348,03-05-2023
12,Pasto,9916,8396,03-05-2023
13,Cúcuta,10225,7089,03-05-2023
14,Santa Marta,11947,9160,03-05-2023
15,Sincelejo,12005,9228,03-05-2023
16,Tunja,12307,9491,03-05-2023
17,Armenia,12166,9441,03-05-2023
18,Neiva,12209,9441,03-05-2023
